id,axis,direction,distance_cmd_cm,vmax_cmps,vision_start_x,vision_start_y,vision_end_x,vision_end_y,vision_actual_main_cm,vision_main_need_cm,vision_cross_cm,apos_minus_tpos_x_cm,apos_minus_tpos_y_cm,onboard_yaw_error_deg,notes
X-F20,X,forward,20,40,0.557443,5.240507,1.651300,5.263367,21.8771,-1.8771,0.4572,1.2,0.0,0.10,
X-B20,X,backward,20,40,1.651300,5.263367,0.549692,5.247592,22.0322,-2.0322,-0.3155,-1.3,-0.1,-0.38,
X-F40,X,forward,40,50,0.549692,5.247592,2.637433,5.257258,41.7548,-1.7548,0.1933,0.9,-0.1,-0.12,
X-B40,X,backward,40,50,2.637433,5.257258,0.541979,5.252464,41.9091,-1.9091,-0.0959,-1.1,0.3,-0.02,
X-F50,X,forward,50,50,0.554557,5.240207,3.146907,5.254314,51.8470,-1.8470,0.2821,0.5,0.2,-0.01,Run before the 20/40 cm pair
X-B50,X,backward,50,50,3.146907,5.254314,0.557443,5.240507,51.7893,-1.7893,-0.2761,-1.0,0.2,0.05,Run before the 20/40 cm pair
X-F70,X,forward,70,65,0.541979,5.252464,4.124243,5.275271,71.6453,-1.6453,0.4561,0.5,0.0,-0.09,
X-B70,X,backward,70,65,4.124243,5.275271,0.550464,5.259793,71.4756,-1.4756,-0.3096,-0.8,0.3,0.38,
X-F100,X,forward,100,150,0.550464,5.259793,5.618619,5.257138,101.3631,-1.3631,-0.0531,0.2,-0.1,-0.02,
X-B100,X,backward,100,150,5.618619,5.257138,0.571256,5.245275,100.9473,-0.9473,-0.2373,-0.4,0.4,0.36,
Y-L20,Y,left,20,40,0.571256,5.245275,0.580957,4.264514,19.6152,0.3848,0.1940,-0.1,-0.3,-0.53,Yaw at tolerance edge
Y-R20,Y,right,20,40,0.580957,4.264514,0.566843,5.300014,20.7100,-0.7100,-0.2823,0.1,-0.2,0.36,
Y-R40,Y,right,40,50,0.566843,5.300014,0.600350,7.282593,39.6516,0.3484,0.6701,0.1,0.5,-0.20,
Y-L40,Y,left,40,50,0.600350,7.282593,0.578571,5.296443,39.7230,0.2770,-0.4356,-0.2,-0.3,-0.34,
Y-L50,Y,left,50,50,0.578571,5.296443,0.637629,2.815436,49.6201,0.3799,1.1811,0.0,-0.3,0.03,
Y-R50,Y,right,50,50,0.637629,2.815436,0.606536,5.302900,49.7493,0.2507,-0.6219,0.1,0.2,0.04,
Y-R70,Y,right,70,65,0.606536,5.302900,0.648479,8.791364,69.7693,0.2307,0.8389,0.0,0.1,-0.29,
Y-L70,Y,left,70,65,0.648479,8.791364,0.650821,5.288450,70.0583,-0.0583,0.0469,-0.3,-0.6,0.38,
Y-L100-A,Y,left,100,150,0.650821,5.288450,0.718306,0.332288,99.1233,0.8768,1.3497,-0.2,-0.3,0.22,Left half-field
Y-R100-A,Y,right,100,150,0.718306,0.332288,0.864463,5.310681,99.5679,0.4321,2.9231,0.1,0.3,0.04,Return from left half-field
Y-R100-B,Y,right,100,150,0.864463,5.310681,0.937563,10.332238,100.4311,-0.4311,1.4620,0.4,0.3,0.12,Right half-field
Y-L100-B,Y,left,100,150,0.937563,10.332238,0.848061,5.368311,99.2785,0.7215,-1.7900,-0.3,-0.4,0.17,Return from right half-field
