"timestamp","label","direction","distance_cm","speed_cmps","kp","ki","kd","speed_factor","done","timeout","completion_s","final_remaining_cm","radial_error_cm","max_overshoot_cm","final_cross_error_cm","final_actual_cmps","peak_actual_cmps","restart_count","reversal_count","braking_samples","position_loop_samples","line_guidance_samples","max_yaw_error_deg","telemetry_samples","vision_start_time","vision_end_time","vision_start_x_grid","vision_start_y_grid","vision_start_yaw_deg","vision_end_x_grid","vision_end_y_grid","vision_end_yaw_deg","vision_dx_cm","vision_dy_cm","vision_travel_cm","vision_yaw_change_deg","raw_log"
"2026-07-15T17:36:18","baseline_v2_forward100","forward","100","150","0.8","0","0.05","0.95","1","0","2.165","-2.1","2.159","2.2","0.5","0","96.2","0","0","7","0","17","1.31","20","","","","","","","","","","","","","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\baseline_v2_forward100.log"
"2026-07-15T17:37:33","baseline_v2_backward100","backward","100","150","0.8","0","0.05","0.95","0","1","","2.1","2.1","2.4","0","0","96.77","0","1","168","2","179","1.06","181","","","","","","","","","","","","","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\baseline_v2_backward100.log"
"2026-07-15T18:34:10","straight_v1_forward100_f095","forward","100","150","0.8","0","0.05","0.95","1","0","2.19","-2.3","2.319","2.4","0.3","0","96.39","0","0","7","0","18","0.99","21","2026-07-15T18:34:07.5073386+08:00","2026-07-15T18:34:09.8568721+08:00","0.475","5.094","89.83","5.6185","5.1123","90.316","102.87","0.366","102.871","0.486","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\straight_v1_forward100_f095.log"
"2026-07-15T18:34:32","straight_v1_backward100_f095","backward","100","150","0.8","0","0.05","0.95","1","0","2.064","-3","3.059","3.1","0.6","0","96.16","0","0","7","0","18","1.2","20","2026-07-15T18:34:30.2003601+08:00","2026-07-15T18:34:32.4213422+08:00","5.6181","5.1118","90.426","0.4581","5.0605","88.686","-103.2","-1.026","103.205","-1.74","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\straight_v1_backward100_f095.log"
"2026-07-15T18:34:59","straight_v1_forward100_f085","forward","100","150","0.8","0","0.05","0.85","1","0","2.231","-0.2","1.315","0.2","1.3","0","94.74","0","0","9","0","19","0.91","21","2026-07-15T18:34:56.7828680+08:00","2026-07-15T18:34:59.1919650+08:00","0.458","5.0609","88.741","5.5048","5.0661","89.483","100.936","0.104","100.936","0.743","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\straight_v1_forward100_f085.log"
"2026-07-15T18:35:24","straight_v1_backward100_f085","backward","100","150","0.8","0","0.05","0.85","1","0","2.165","-0.3","1.334","0.4","1.3","0","95.36","0","0","9","0","18","1.5","20","2026-07-15T18:35:21.7174943+08:00","2026-07-15T18:35:24.0474556+08:00","5.5049","5.0671","89.419","0.4877","5.0412","88.681","-100.344","-0.518","100.345","-0.738","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\straight_v1_backward100_f085.log"
"2026-07-15T18:35:54","pos_baseline_forward20_k080d005","forward","20","40","0.8","0","0.05","0.85","1","0","1.267","-3","3.007","3","0.2","0","43.05","0","0","5","4","5","0.67","11","2026-07-15T18:35:53.1506596+08:00","2026-07-15T18:35:54.5719584+08:00","0.4883","5.0413","88.711","1.6653","5.0358","88.977","23.54","-0.11","23.54","0.266","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\pos_baseline_forward20_k080d005.log"
"2026-07-15T18:36:16","pos_baseline_backward20_k080d005","backward","20","40","0.8","0","0.05","0.85","1","0","1.32","-3.6","3.622","3.6","0.4","0","42.85","0","0","6","4","6","0.66","12","2026-07-15T18:36:14.9868981+08:00","2026-07-15T18:36:16.4555983+08:00","1.6658","5.035","88.722","0.4563","5.0544","88.556","-24.19","0.388","24.193","-0.166","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\pos_baseline_backward20_k080d005.log"
"2026-07-15T18:36:40","pos_forward20_k040d005","forward","20","40","0.4","0","0.05","0.85","1","0","1.318","-3","3.007","3","0.2","0","41.83","0","0","5","4","5","0.57","12","2026-07-15T18:36:38.1536863+08:00","2026-07-15T18:36:39.6335770+08:00","0.4563","5.0543","88.467","1.6327","5.051","89.09","23.528","-0.066","23.528","0.623","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\pos_forward20_k040d005.log"
"2026-07-15T18:37:07","pos_forward20_k040d005_f070","forward","20","40","0.4","0","0.05","0.7","1","0","1.225","-1.5","1.53","1.5","0.3","0.28","36.7","0","0","6","3","6","0.53","10","2026-07-15T18:37:06.0950897+08:00","2026-07-15T18:37:07.4690745+08:00","1.6329","5.0508","89.075","2.7361","5.0409","88.77","22.064","-0.198","22.065","-0.305","E:\ASC-_AIVision_Group2\project\calibration_records\2026-07-15_position_pid_tuning\pos_forward20_k040d005_f070.log"
